Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-07-01,174.91709899902344,175.3638741746747,174.12470140816666,175.1109794107984,135979900
2015-07-02,174.75692749023438,175.56618814172808,174.33544051529762,175.3975959243057,104373700
2015-07-06,174.25953674316406,175.04349616605103,173.25639591045243,173.45871424350008,117975400
2015-07-07,175.35545349121094,175.4818944449592,172.05942209404085,174.46190311735685,173820200
2015-07-08,172.41343688964844,174.29326493408666,172.17740524562748,174.0066569181698,164020100
2015-07-09,172.72540283203125,174.7906998452496,172.61582493626628,174.5293670470037,144113100
2015-07-10,174.90025329589844,175.32174032331667,172.76752996618322,174.7400861674374,129456900
2015-07-13,176.83070373535156,176.94028163603417,176.13103359711582,176.17318488019328,106069400
2015-07-14,177.5977783203125,177.9096874859352,176.7295160209243,176.78853038241868,81709600
2015-07-15,177.53872680664062,178.10351775451872,177.05822552788376,177.6398795546903,97914100
2015-07-16,178.96340942382812,178.96340942382812,178.3564670244211,178.60092386121022,106683300
2015-07-17,179.11508178710938,179.17409613130778,178.5418657376636,178.9549146960112,89030000
2015-07-20,179.2078399658203,179.70519153984768,178.88751859179652,179.342718893179,70446800
2015-07-21,178.499755859375,179.33430480307854,178.19628468555217,179.07297204172738,77965000
2015-07-22,178.1793975830078,178.51659487666717,177.7747736933781,177.80848699136328,88667900
2015-07-23,177.17625427246094,178.41542697745712,176.8137816570154,178.31427422203257,90509100
2015-07-24,175.3385772705078,177.33642136659293,175.0013928439383,177.2774198801859,117755000
2015-07-27,174.31858825683594,174.9592567306815,173.87181306468705,174.44504207482453,132361100
2015-07-28,176.45974731445312,176.6030513495824,174.32702414340517,175.16156016343817,123544800
2015-07-29,177.6736297607422,177.90122347465888,176.44288208759366,176.58618612098044,105791300
2015-07-30,177.71580505371094,177.88439730032104,176.53563360191248,177.15943906341013,91304400
2015-07-31,177.4459991455078,178.24682174724663,177.15939111756094,178.22153356023722,103266900
2015-08-03,176.84750366210938,177.47130903105193,175.88651384997527,177.4123075417363,113965700
2015-08-04,176.50189208984375,177.23527531991132,176.0129656488781,176.7716370687575,81820800
2015-08-05,177.0835723876953,178.12885202197495,176.79695142280738,177.40389379363725,85786800
2015-08-06,175.6336669921875,177.37861677114512,175.04357480472143,177.26902601699894,116030800
2015-08-07,175.2964630126953,175.62522239997963,174.38604943342392,175.47349323481643,117858000
2015-08-10,177.5050506591797,177.5893403459408,176.41760693902745,176.41760693902745,80270700
2015-08-11,175.9033660888672,176.57774779644564,175.1362567357122,176.15626083705428,126081400
2015-08-12,176.11415100097656,176.29960633575968,173.11316520214325,174.58836990706806,172123700
2015-08-13,175.8949737548828,176.64522016788285,175.34703288791917,175.95397525155556,89383300
2015-08-14,176.53558349609375,176.6114480561212,175.55773073542818,175.7010347475112,72786500
2015-08-17,177.5218963623047,177.5218963623047,175.47347566116628,175.93711394622727,79072600
2015-08-18,177.00759887695312,177.59767784423875,176.7715672900389,177.2436304638674,71692700
2015-08-19,175.6083984375,177.0330140869101,174.79071240226006,176.2574793358841,172946000
2015-08-20,171.94139099121094,175.5830316263809,171.88237664285722,174.082539082167,194327900
2015-08-21,166.76553344726562,171.9161046534397,166.50421358805445,170.05312661598893,346588500
2015-08-24,159.74359130859375,166.4705209980097,153.75847007751975,158.04921800499207,507244300
2015-08-25,157.86373901367188,164.7592599163388,157.56869297897325,164.74239683536007,369833100
2015-08-26,163.9247283935547,164.20289849210744,158.79100699875787,161.91844617345566,339257000
2015-08-27,167.97946166992188,168.1059026467122,164.55698869530755,166.08276984147915,274143900
2015-08-28,167.9879150390625,168.4599785821746,166.8414694931759,167.33039612361824,160414400
2015-08-31,166.6306610107422,167.86140865107902,166.07429511047644,167.00157161091937,163298800
2015-09-01,161.65711975097656,164.18604162847674,160.78041963029656,162.79512687819457,256000400
2015-09-02,164.72560119628906,164.76775248132103,162.2051035594674,164.05964433597663,160269300
2015-09-03,164.84356689453125,166.951001876914,164.34621532575187,165.44207122638105,152087800
2015-09-04,162.3483428955078,163.4189233671046,161.52223206194452,162.56752434516008,207081000
2015-09-08,166.42837524414062,166.5801172752047,164.52325835315708,165.1723520306672,116025700
2015-09-09,164.202880859375,168.14800541293639,163.83198314687897,168.0215644726265,149347700
2015-09-10,165.09646606445312,166.25133634948986,163.74770249468142,164.00902238141856,158611100
2015-09-11,165.84669494628906,165.91413440394695,163.9837169089284,164.7002498916274,119691200
2015-09-14,165.23133850097656,166.0743125488903,164.742412009655,166.02373616405757,79452000
2015-09-15,167.296630859375,167.74340606413344,165.18919579437753,165.73712376617172,113806200
2015-09-16,168.74655151367188,168.9404448205619,167.25449659708505,167.6001190699612,99581600
2015-09-17,168.3671875,171.0309883334253,167.98785178588685,168.6116571545534,276046600
2015-09-18,165.61581420898438,168.3527718997516,165.20061782685315,165.83613515914368,223657500
2015-09-21,166.4717254638672,167.50548888227797,165.41252944575393,166.4547747072785,105726200
2015-09-22,164.31089782714844,164.77694647618807,163.16696140947238,164.28547816716753,153890900
2015-09-23,164.0482177734375,164.95488247298096,163.46353974036194,164.48036491849462,92790600
2015-09-24,163.45509338378906,163.92114212941362,161.4722819165534,162.81957589329278,159378800
2015-09-25,163.41268920898438,165.23450032274098,162.53143130000208,164.92945149726754,155054800
2015-09-28,159.31143188476562,162.61612876814178,158.99791423340815,162.50596832647378,178515900
2015-09-29,159.40467834472656,160.77740447485854,158.39632218203565,159.5317895597265,159045600
2015-09-30,162.3789520263672,162.54842076318582,160.52323897355902,161.31127441810176,163452000
2015-10-01,162.80262756347656,163.10767645641465,160.8452358878054,162.7602571475838,131079000
2015-10-02,165.2344970703125,165.25991672779887,160.25203732886376,160.8028267435443,211003300
2015-10-05,168.17483520507812,168.4036250662486,166.36149292423195,166.47165339991278,126320800
2015-10-06,167.59861755371094,168.60697374378728,166.9292116832075,168.0392465043394,110274500
2015-10-07,168.97134399414062,169.3272321330427,167.3359394074365,168.539183952191,124307300
2015-10-08,170.4966278076172,170.78472594957356,168.276544715228,168.58159360954522,153055200
2015-10-09,170.5983123779297,171.08129893505847,169.9627949035355,170.64068279548317,107069200
2015-10-12,170.75926208496094,170.9626193421098,170.24237417365376,170.67452127472737,56395600
2015-10-13,169.68313598632812,171.30158997450334,169.51366727538965,170.02207340820507,88038700
2015-10-14,168.86962890625,170.20845339252674,168.57306196329918,169.6237754852051,99106200
2015-10-15,171.46253967285156,171.47100858055197,169.16619858229365,169.5390373951928,134142200
2015-10-16,172.24217224121094,172.2591100631396,171.09823570890907,171.86933328461967,114580100
2015-10-19,172.3268585205078,172.3268585205078,171.27614491075028,171.58966262596735,76523900
2015-10-20,172.10659790039062,172.7251645921883,171.6320802776617,171.88628984116232,78448500
2015-10-21,171.03892517089844,172.6827860206722,170.86944351681248,172.5302680475567,102038000
2015-10-22,173.928466796875,174.1403060147591,171.03898969146238,171.99649416414337,174911700
2015-10-23,175.83494567871094,176.20778461385254,174.80965153670587,175.61463763959742,144442300
2015-10-26,175.4027862548828,175.71630400587503,175.02994734579295,175.6569957774108,69033000
2015-10-27,175.06385803222656,175.4027954602962,174.3774884064893,174.72490767452285,77905800
2015-10-28,177.05506896972656,177.08048862043242,174.73332134106394,175.40272702570013,135906700
2015-10-29,176.95350646972656,177.3263454975453,176.42814943760246,176.54677886194136,90525500
2015-10-30,176.19081115722656,177.47032760426288,176.0298243011024,177.14832803274922,131076900
2015-11-02,178.27529907226562,178.47018740931264,176.39416697135877,176.52127817957935,86270800
2015-11-03,178.792236328125,179.35149476761924,177.69067020083986,177.91946009511207,95246100
2015-11-04,178.24990844726562,179.2158943107624,177.70760082091013,179.0887960114735,96224500
2015-11-05,178.07192993164062,178.77523724639366,177.1737342787081,178.30918867280653,78408700
2015-11-06,177.978759765625,178.21603148914676,176.6399478271048,177.7245631504848,110471500
2015-11-09,176.31796264648438,177.51273855401757,175.36044555226673,177.3602076428087,131008700
2015-11-10,176.7247314453125,176.75863295777705,175.5638567713553,175.83500422287847,75874600
2015-11-11,176.0298614501953,177.0466867652725,175.96207137190544,176.99584743896398,67846000
2015-11-12,173.57249450683594,175.4536268861299,173.55555668693853,174.97910933633207,121315200
2015-11-13,171.62359619140625,173.4284698460484,171.53886829110488,173.1573224635945,153577100
2015-11-16,174.23341369628906,174.29273484876464,171.318505697443,171.43714800239417,117645200
2015-11-17,174.1063690185547,175.4367122135513,173.6064317064697,174.54699808953552,121123700
2015-11-18,176.86874389648438,177.01279297051065,174.54699502970854,174.58935251705347,121342500
2015-11-19,176.71620178222656,177.13988003491488,176.41962183349108,176.75009035340258,88220500
2015-11-20,177.36021423339844,178.046571035254,176.97890633566044,177.47884364446438,94011500
2015-11-23,177.15684509277344,177.92792974841817,176.69079639125067,177.41952356191305,64931200
2015-11-24,177.3940887451172,177.8008162455035,175.7502150636118,176.13999181367205,98874400
2015-11-25,177.3686981201172,177.7245863574192,177.10600670077966,177.5212161091168,51980100
2015-11-27,177.572021484375,177.77539169379,176.97887453562348,177.46186100473767,37317800
2015-11-30,176.83482360839844,177.85164878541,176.72466312993072,177.73301939691922,112822700
2015-12-01,178.52101135253906,178.63965364185077,177.19066874251584,177.47029786097102,97858400
2015-12-02,176.69924926757812,178.792220849332,176.44503973257642,178.47022124302094,108441300
2015-12-03,174.22496032714844,177.22459647326986,173.49623326243832,176.95344913248394,166224200
2015-12-04,177.62289428710938,177.91947428220882,174.22499882402906,174.22499882402906,192913900
2015-12-07,176.5467529296875,177.71609624651444,175.57228508109014,177.29241794615965,102027100
2015-12-08,175.3604278564453,176.49588248125178,174.36902228735596,174.9706511008893,103372400
2015-12-09,173.9961395263672,176.82630646505206,173.01320311532646,174.71639755316775,162401500
2015-12-10,174.44528198242188,175.76715607993603,173.8267153454332,174.063974135775,116128900
2015-12-11,171.06431579589844,172.979336623438,170.75078513276736,172.30993075011187,211173300
2015-12-14,171.92860412597656,172.05571534060496,169.42890539387147,171.22530970948813,182385200
2015-12-15,173.73350524902344,174.64865183684773,171.90321207337485,173.4538760474965,154069600
2015-12-16,176.27557373046875,176.58062259123602,173.53861582362876,174.86895882084,197017000
2015-12-17,173.58944702148438,176.6568733064636,173.5724962717811,176.5890832372841,173092500
2015-12-18,170.49693298339844,172.97740537208782,170.33497501505946,172.84103135200797,251393500
2015-12-21,171.90341186523438,172.08242148965127,170.55661904539173,171.6817926695329,99094300
2015-12-22,173.46327209472656,173.76161707737495,171.80109592167094,172.7984016255043,111026200
2015-12-23,175.61135864257812,175.65398122132467,174.3839012115534,174.4776656821618,110987200
