Date,Close,High,Low,Open,Volume
2015-07-01,60.816768646240234,60.914494390821815,60.76414620909392,60.7942169925226,5399300.0
2015-07-02,60.9670524597168,61.0271939630775,60.93698170803644,60.93698170803644,1060100.0
2015-07-03,61.01968860626221,61.07607199273858,60.967066197611544,61.00841280145779,1347750.0
2015-07-04,61.07232475280762,61.12495002239966,60.99715068718665,61.07984389487913,1635400.0
2015-07-05,61.12496089935303,61.17382805206074,61.02723517676174,61.15127498830047,1923050.0
2015-07-06,61.17759704589844,61.22270608172182,61.057319666336845,61.22270608172182,2210700.0
2015-07-07,61.237728118896484,61.47076944499569,61.23772811889648,61.41063363321802,4183200.0
2015-07-08,61.41061782836914,61.463240234765024,61.312886405482395,61.373027937195445,1967800.0
2015-07-09,61.20766067504883,61.3279437759749,61.17758989981731,61.31290552065217,1670900.0
2015-07-10,60.921974182128906,61.01218647416326,60.854313529250206,60.90693593241729,2038300.0
2015-07-11,60.87436040242513,60.97459627808049,60.82674692582804,60.86684127729534,2307700.0
2015-07-12,60.82674662272135,60.93700608199772,60.799180322405874,60.8267466221734,2577100.0
2015-07-13,60.77913284301758,60.899415885914955,60.77161371898371,60.786651967051455,2846500.0
2015-07-14,60.89187240600586,60.94449478237247,60.861801657309385,60.89187240600586,1567700.0
2015-07-15,61.064815521240234,61.08736716284952,60.876877527279696,60.89942916888898,2631000.0
2015-07-16,61.064815521240234,61.1023996787849,60.92949993617215,60.94453245210753,1063100.0
2015-07-17,61.07233428955078,61.13247582941322,61.04226351961957,61.07985341588682,807900.0
2015-07-18,61.044778188069664,61.107426112577535,61.01220294938694,61.06482728596177,880900.0
2015-07-19,61.01722208658854,61.082376395741846,60.98214237915431,61.049801156036715,953900.0
2015-07-20,60.98966598510742,61.057326678906165,60.95208180892168,61.03477502611167,1026900.0
2015-07-21,61.10240936279297,61.139999261707594,60.967093756278956,60.98213201001014,1422900.0
2015-07-22,61.12495803833008,61.21517035009438,61.117444647242834,61.13247716483036,1624100.0
2015-07-23,61.267799377441406,61.29787015127506,61.109932116374935,61.155035409418595,1178400.0
2015-07-24,61.30537414550781,61.350477427417836,61.26778425364129,61.33543917650633,804300.0
2015-07-25,61.34547805786133,61.378053289023846,61.29536009980744,61.36051057055383,1210466.6666666667
2015-07-26,61.385581970214844,61.40562915062985,61.32293594597359,61.38558196460132,1616633.3333333335
2015-07-27,61.42568588256836,61.43320501223586,61.35051179213974,61.41065335864882,2022800.0
2015-07-28,61.320396423339844,61.380537946120526,61.31287729913944,61.350467184730185,1434700.0
2015-07-29,61.267799377441406,61.32794092510872,61.22269608439775,61.32042179779689,1020500.0
2015-07-30,61.29030227661133,61.32789214785965,61.22264739085528,61.25271814077211,788000.0
2015-07-31,61.500850677490234,61.51588893455229,61.43319572695478,61.47829902731175,1589100.0
2015-08-01,61.54830678304037,61.563353500099645,61.455493344417285,61.50062776413773,1754666.6666666667
2015-08-02,61.59576288859049,61.61081806564701,61.47779096187979,61.522956500963716,1920233.3333333333
2015-08-03,61.643218994140625,61.65828263119437,61.5000885793423,61.5452852377897,2085800.0
2015-08-04,61.432289123535156,61.60554679983947,61.41721974029128,61.59048316388135,1007300.0
2015-08-05,61.3343505859375,61.37201829382072,61.25148622642266,61.356948911753314,2097000.0
2015-08-06,61.371986389160156,61.43225239152949,61.334318700858745,61.349388075092236,1173000.0
2015-08-07,61.500083923339844,61.55281526996506,61.43228894080132,61.469950904227474,1773800.0
2015-08-08,61.457384745279946,61.52769318653181,61.399632194153796,61.46491750468412,1573633.3333333333
2015-08-09,61.414685567220054,61.502571103098575,61.36697544750627,61.459884105140766,1373466.6666666667
2015-08-10,61.371986389160156,61.47744901966533,61.334318700858745,61.45485070559741,1173300.0
2015-08-11,61.60553741455078,61.68840176791089,61.552806075802074,61.575404399939394,1424200.0
2015-08-12,61.58292007446289,61.79384536432695,61.56785644545108,61.7109810365542,1029700.0
2015-08-13,61.45484161376953,61.58290253939687,61.43224330304488,61.52263654594349,845500.0
2015-08-14,61.432289123535156,61.52268243385541,61.40215610433316,61.432289123535156,2279800.0
2015-08-15,61.46995290120443,61.55030378745308,61.4398217978141,61.47999724088867,1793833.3333333333
