Date,Close,High,Low,Open,Volume,daily_return
2015-07-01,60.816715240478516,60.914440899243004,60.76409284954218,60.79416360656443,5399300.0,
2015-07-02,60.967105865478516,61.02724742152182,60.93703508745686,60.93703508745686,1060100.0,0.00247285017622767
2015-07-03,61.01972579956055,61.0761092234393,60.96710337677878,61.00844997289059,1347750.0,0.0008630872883836904
2015-07-04,61.07234573364258,61.12497102535679,60.9971716661007,61.079864858324314,1635400.0,0.000862343011092559
2015-07-05,61.12496566772461,61.17383282727428,61.02723995542262,61.15127974375804,1923050.0,0.0008616000163399473
2015-07-06,61.17758560180664,61.222694629191764,61.05730824474454,61.222694629191764,2210700.0,0.0008608583008140602
2015-07-07,61.23774337768555,61.470784761852364,61.23774337768555,61.41064893509047,4183200.0,0.0009833303371999946
2015-07-08,61.410614013671875,61.46323641679896,61.31288259685599,61.37302412483319,1967800.0,0.0028229426241288547
2015-07-09,61.20763397216797,61.3279170206185,61.17756321005534,61.31287877185647,1670900.0,-0.0033052924932278627
2015-07-10,60.92198181152344,61.01219411485527,60.85432115017144,60.90694355992854,2038300.0,-0.004666936819914036
2015-07-11,60.874375661214195,60.97461156453282,60.82676217770977,60.866856536087354,2307700.0,-0.0007814281297762182
2015-07-12,60.826769510904946,60.93702901421038,60.7992032052481,60.826769512246166,2577100.0,-0.000782039237234966
2015-07-13,60.7791633605957,60.899446463887934,60.77164423278643,60.78668248840498,2846500.0,-0.0007826513012615388
2015-07-14,60.89191436767578,60.944536780305405,60.86184359825702,60.89191436767578,1567700.0,0.0018550931083263222
2015-07-15,61.06483840942383,61.08739005948587,60.87690034502077,60.899451995082806,2631000.0,0.0028398522783157354
2015-07-16,61.06483840942383,61.102422581055706,60.929522773637046,60.94455529520688,1063100.0,0.0
2015-07-17,61.07234573364258,61.13248728477469,61.042274958076526,61.07986486138759,807900.0,0.0001229402126379231
2015-07-18,61.044778188069664,61.10742611162676,61.01220295033191,61.06482728125825,880900.0,-0.0004513916281052577
2015-07-19,61.01721064249674,61.08236493847882,60.98213094258729,61.04978970112891,953900.0,-0.00045159547452178206
2015-07-20,60.98964309692383,61.057303765330886,60.952058934842675,61.03475212099957,1026900.0,-0.0004517995051336321
2015-07-21,61.10236740112305,61.13995727422306,60.96705188753612,60.98209013093988,1422900.0,0.001848253219322471
2015-07-22,61.124942779541016,61.215155068785386,61.11742939032936,61.13246190416429,1624100.0,0.0003694681462955707
2015-07-23,61.26776123046875,61.29783198557954,61.10989406769467,61.1549973326558,1178400.0,0.0023365003619362223
2015-07-24,61.30540084838867,61.35050414994441,61.26781094014907,61.33546589248267,804300.0,0.000614346226530671
2015-07-25,61.34548695882162,61.37806220199171,61.29536900074553,61.36051948242274,1210466.6666666667,0.0006538756761753639
